PORT_ID,PORT_CD,PORT_NAM,COUNTRY_CD,STATE_CD,COMMENTS_TXT,AS_OF_CD,CAPTURE_DAT,RECORD_STATUS_CD
100799,JSJ,CRUISE SEA OF JAPAN,ZZ,,,CD,5/21/2019,A
100800,MMR,CRUISE SEA OF MARMARA,ZZ,,,CD,5/21/2019,A
100801,BKA,CRUISE SELAT BANKA,ZZ,,,CD,5/21/2019,A
100802,SOA,CRUISE SENO AGOSTINI,ZZ,,,CD,5/21/2019,A
100803,JKK,CRUISE SKAGERRAK,ZZ,,,CD,5/21/2019,A
100804,CSF,CRUISE SOGNEFJORD,ZZ,,,CD,5/21/2019,A
100805,JOU,CRUISE SOUTH CHINA SEA,ZZ,,,CD,5/21/2019,A
100806,CGL,CRUISE ST.LAWRENCE GULF,ZZ,,,CD,5/21/2019,A
100807,JSG,CRUISE ST.GEORGES CHANNEL,ZZ,,,CD,5/21/2019,A
100810,JRI,CRUISE STRAIT OF MALACCA,ZZ,,,CD,5/21/2019,A
100811,YSS,CRUISE STRAIT OF MESSINA,ZZ,,,CD,5/21/2019,A
100813,ICH,CRUISE SWEDISH ARCHIPELAGO,ZZ,,,CD,5/21/2019,A
100814,TAS,CRUISE TASMAN SEA,ZZ,,,CD,5/21/2019,A
100815,JBL,CRUISE BLACK SEA,ZZ,,,CD,5/21/2019,A
100816,JMR,CRUISE TIMOR SEA,ZZ,,,CD,5/21/2019,A
100817,RLP,CRUISE TO NOWHERE,ZZ,,,CD,5/21/2019,A
100818,CTS,CRUISE TORRES STRAIT,ZZ,,,CD,5/21/2019,A
100819,YTY,CRUISE TYRRHENIAN SEA,ZZ,,,CD,5/21/2019,A
100820,YAK,CRUISE YAKUTAT BAY,ZZ,,,CD,5/21/2019,A
100821,JLS,CRUISE YELLOW SEA,ZZ,,,CD,5/21/2019,A
100823,USA,CRUISE BY STATUE OF LIBERTY,ZZ,,,CD,5/21/2019,A
100824,JNV,CRUISE COAST OF NOVA SCOTIA,ZZ,,,CD,5/21/2019,A
100825,FYC,CRUISE FREYCINET,ZZ,,,CD,5/21/2019,A
100826,JRP,CRUISE GULF OF CARPENTARIA,ZZ,,,CD,5/21/2019,A
100827,HBP,CRUISE HAVANNAH/BOULARI PSG,ZZ,,,CD,5/21/2019,A
100828,FIS,CRUISE FRASER ISLAND,ZZ,,,CD,5/21/2019,A
100831,JKU,CRUISE PAST KILAUEA VOLCANO,ZZ,,,CD,5/21/2019,A
100832,EVR,CRUISE THE SEINE RIVER,ZZ,,,CD,5/21/2019,A
100833,GGB,CRUISE UNDER GOLDEN GATE BR.,ZZ,,,CD,5/21/2019,A
100834,XXX,TO BE ANNOUNCED,ZZ,,,CD,5/21/2019,A
100835,XCC,TRANSIT CAPE COD CANAL,ZZ,,,CD,5/21/2019,A
100837,TPC,TRANSIT PANAMA CANAL,ZZ,,,CD,5/21/2019,A
100839,CSG,TRANSIT STRAIT OF GIBRALTAR,ZZ,,,CD,5/21/2019,A
100840,JWT,WINE TASTING AT SEA,ZZ,,,CD,5/21/2019,A
100761,GFJ,CRUISE GEIRANGERFJORD,ZZ,,,CD,5/21/2019,A
100763,JBF,CRUISE GREAT BARRIER REEF,ZZ,,,CD,5/21/2019,A
100764,CGM,CRUISE GULF OF MAINE,ZZ,,,CD,5/21/2019,A
100765,JLU,CRUISE GULF OF THAILAND,ZZ,,,CD,5/21/2019,A
100766,JGT,CRUISE GULF OF TONGKING,ZZ,,,CD,5/21/2019,A
100767,OGT,CRUISE GULF OF TRINIDAD,ZZ,,,CD,5/21/2019,A
100768,XHB,CRUISE HALONG BAY,ZZ,,,CD,5/21/2019,A
100769,JDG,CRUISE HARDANDERFJORD,ZZ,,,CD,5/21/2019,A
100770,JHO,CRUISE HONGUEDO PASSAGE,ZZ,,,CD,5/21/2019,A
100772,ICJ,CRUISE IBERIAN PENINSULA,ZZ,,,CD,5/21/2019,A
101090,CGU,CRUISE GATUN LAKE,ZZ,,,CD,5/21/2019,A
100854,XBP,CRUISE BALLS PYRAMID,ZZ,,,CD,5/21/2019,A
100856,CCF,CRUISE COLLEGE FJORD,ZZ,,,CD,5/21/2019,A
100857,CCG,CRUISE COLOMBIA GLACIER,ZZ,,,CD,5/21/2019,A
100858,JEN,CRUISE D'ENTRECASTEAU,ZZ,,,CD,5/21/2019,A
100860,END,CRUISE ENDICOTT ARM,ZZ,,,CD,5/21/2019,A
100861,JGS,CRUISE GASPE PERCE ROCKS,ZZ,,,CD,5/21/2019,A
100724,CCC,AT SEA,ZZ,,,CD,5/21/2019,A
100865,MFJ,CRUISE MISTY FJORD,ZZ,,,CD,5/21/2019,A
100866,JMY,MYSTERY CRUISE,ZZ,,,CD,5/21/2019,A
100868,JQQ,CRUISE QUEENSLAND COAST,ZZ,,,CD,5/21/2019,A
100869,JEP,CRUISE SOLAR ECLIPSE,ZZ,,,CD,5/21/2019,A
100870,TA,CRUISE TRACY ARM,ZZ,,,CD,5/21/2019,A
100871,JWB,CRUISE WINE GLASS BAY,ZZ,,,CD,5/21/2019,A
100773,IIJ,CRUISE IJMUIDEN CANAL,ZZ,,,CD,5/21/2019,A
101217,SSP,CRUISE SIBUYAN SEA,ZZ,,,CD,5/21/2019,A
101218,WHI,CRUISE W.HAWAIIAN ISLAND CHAIN,ZZ,,,CD,5/21/2019,A
101219,PWI,CRUISE PAST WAKE ISLAND,ZZ,,,CD,5/21/2019,A
101220,SBE,TRANSIT SAN BERNARDINO STRAIT,ZZ,,,CD,5/21/2019,A
101246,CTC,CROSS TROPIC OF CAPRICORN,ZZ,,,CD,5/21/2019,A
101284,BTJ,CRUISE BANDA SEA,ZZ,,,CD,5/21/2019,A
100774,IND,CRUISE INDIAN OCEAN,ZZ,,,CD,5/21/2019,A
100776,JCP,CRUISE INSIDE PASSAGE NORWAY,ZZ,,,CD,5/21/2019,A
100777,IOI,CRUISE IONIAN SEA,ZZ,,,CD,5/21/2019,A
100778,YRE,CRUISE IRISH SEA,ZZ,,,CD,5/21/2019,A
100779,JVV,CRUISE JAVA SEA,ZZ,,,CD,5/21/2019,A
100780,LPX,CRUISE LA PEROUSE STRAIT,ZZ,,,CD,5/21/2019,A
100781,JLG,CRUISE LIGURIAN SEA,ZZ,,,CD,5/21/2019,A
100782,CLF,CRUISE LYSEFJORD,ZZ,,,CD,5/21/2019,A
100783,JMQ,CRUISE MEDITERRANEAN SEA,ZZ,,,CD,5/21/2019,A
100785,CMR,CRUISE MISSISSIPPI RIVER,ZZ,,,CD,5/21/2019,A
100786,CNC,CRUISE NORTH CAPE AT MIDNIGHT,ZZ,,,CD,5/21/2019,A
100787,NRJ,CRUISE NORDFJORD,ZZ,,,CD,5/21/2019,A
100788,NRN,CRUISE NORTH SEA,ZZ,,,CD,5/21/2019,A
